
Player		Team	born	Height	Position
Fernandinho	Manchester City	Manchester City	04/05/1985	179 cm	MF
Phil Foden	Manchester City	Manchester City	28/05/2000	171 cm	MF
Gabriel Jesus	Manchester City	Manchester City	03/04/1997	175 cm	FW
Claudio Gomes	Manchester City	Manchester City	23/07/2000	180 cm	MF
İlkay Gündoğan	Manchester City	Manchester City	24/10/1990	180 cm	MF
Yangel Herrera	Manchester City	Manchester City	07/01/1998	183 cm	MF
Vincent Kompany	Manchester City	Manchester City	10/04/1986	193 cm	DF
Aymeric Laporte	Manchester City	Manchester City	27/05/1994	191 cm	DF
Riyad Mahrez	Manchester City	Manchester City	21/02/1991	179 cm	MF
Eliaquim Mangala	Manchester City	Manchester City	13/02/1991	187 cm	DF
Benjamin Mendy	Manchester City	Manchester City	17/07/1994	185 cm	DF
Marlos Moreno	Manchester City	Manchester City	20/09/1996	171 cm	FW
Aro Murić	Manchester City	Manchester City	07/11/1998	198 cm	GK
Nicolás Otamendi	Manchester City	Manchester City	12/02/1988	184 cm	DF
Philippe Sandler	Manchester City	Manchester City	10/02/1997	188 cm	DF
Leroy Sané	Manchester City	Manchester City	11/01/1996	183 cm	FW
Raheem Sterling	Manchester City	Manchester City	08/12/1994	170 cm	FW
John Stones	Manchester City	Manchester City	28/05/1994	188 cm	DF
Kyle Walker	Manchester City	Manchester City	28/05/1990	178 cm	DF
Oleksandr Zinchenko	Manchester City	Manchester City	15/12/1996	175 cm	MF
Ander Herrera	Manchester United	Manchester United	14/08/1989	182 cm	MF
Andreas Pereira	Manchester United	Manchester United	01/01/1996	178 cm	MF
Eric Bailly	Manchester United	Manchester United	12/04/1994	187 cm	DF
Matteo Darmian	Manchester United	Manchester United	02/12/1989	182 cm	DF
De Gea	Manchester United	Manchester United	07/11/1990	189 cm	GK
Diogo Dalot	Manchester United	Manchester United	18/03/1999	184 cm	DF
Marouane Fellaini	Manchester United	Manchester United	22/11/1987	194 cm	MF
Fred	Manchester United	Manchester United	05/03/1993	169 cm	MF
Lee Grant	Manchester United	Manchester United	27/01/1983	193 cm	GK
Phil Jones	Manchester United	Manchester United	21/02/1992	180 cm	DF
Victor Lindelöf	Manchester United	Manchester United	17/07/1994	187 cm	DF
Jesse Lingard	Manchester United	Manchester United	15/12/1992	174 cm	MF
Romelu Lukaku	Manchester United	Manchester United	13/05/1993	192 cm	FW
Anthony Martial	Manchester United	Manchester United	05/12/1995	181 cm	FW
Mata	Manchester United	Manchester United	28/04/1988	170 cm	MF
Nemanja Matić	Manchester United	Manchester United	01/08/1988	194 cm	MF
Scott McTominay	Manchester United	Manchester United	08/12/1996	193 cm	MF
Paul Pogba	Manchester United	Manchester United	15/03/1993	191 cm	MF
Marcus Rashford	Manchester United	Manchester United	31/10/1997	185 cm	FW
Marcos Rojo	Manchester United	Manchester United	20/03/1990	187 cm	DF
Sergio Romero	Manchester United	Manchester United	22/02/1987	191 cm	GK
Alexis Sánchez	Manchester United	Manchester United	19/12/1988	169 cm	FW
Luke Shaw	Manchester United	Manchester United	12/07/1995	185 cm	DF
Chris Smalling	Manchester United	Manchester United	22/11/1989	193 cm	DF
Antonio Valencia	Manchester United	Manchester United	04/08/1985	179 cm	DF
Ashley Young	Manchester United	Manchester United	09/07/1985	176 cm	DF
Rolando Aarons	Newcastle United	Newcastle United	16/11/1995	178 cm	MF
Christian Atsu	Newcastle United	Newcastle United	10/01/1992	172 cm	FW
Ayoze Pérez	Newcastle United	Newcastle United	23/07/1993	179 cm	MF
Ciaran Clark	Newcastle United	Newcastle United	26/09/1989	188 cm	DF
Karl Darlow	Newcastle United	Newcastle United	08/10/1990	190 cm	GK
Momo Diamé	Newcastle United	Newcastle United	14/06/1987	181 cm	MF
Martin Dúbravka	Newcastle United	Newcastle United	15/01/1989	191 cm	GK
Paul Dummett	Newcastle United	Newcastle United	26/09/1991	183 cm	DF
Rob Elliot	Newcastle United	Newcastle United	30/04/1986	190 cm	GK
Federico Fernández	Newcastle United	Newcastle United	21/02/1989	189 cm	DF
Isaac Hayden	Newcastle United	Newcastle United	22/03/1995	187 cm	MF
Joselu	Newcastle United	Newcastle United	27/03/1990	191 cm	FW
Kenedy	Newcastle United	Newcastle United	08/02/1996	182 cm	MF
Sung-yueng Ki	Newcastle United	Newcastle United	24/01/1989	187 cm	MF
Jamaal Lascelles	Newcastle United	Newcastle United	11/11/1993	189 cm	DF
Achraf Lazaar	Newcastle United	Newcastle United	22/01/1992	184 cm	DF
Florian Lejeune	Newcastle United	Newcastle United	20/05/1991	190 cm	DF
Sean Longstaff	Newcastle United	Newcastle United	30/10/1997	181 cm	MF
Manquillo	Newcastle United	Newcastle United	05/05/1994	178 cm	DF
Jacob Murphy	Newcastle United	Newcastle United	24/02/1995	176 cm	FW
Yoshinori Mutō	Newcastle United	Newcastle United	15/07/1992	179 cm	FW
Matt Ritchie	Newcastle United	Newcastle United	10/09/1989	173 cm	MF
Salomón Rondón	Newcastle United	Newcastle United	16/09/1989	190 cm	FW
Fabian Schär	Newcastle United	Newcastle United	20/12/1991	188 cm	DF
Jonjo Shelvey	Newcastle United	Newcastle United	27/02/1992	185 cm	MF
Jamie Sterry	Newcastle United	Newcastle United	21/11/1995	180 cm	DF
Freddie Woodman	Newcastle United	Newcastle United	04/03/1997	189 cm	GK
DeAndre Yedlin	Newcastle United	Newcastle United	09/07/1993	172 cm	DF
Stuart Armstrong	Southampton FC	Southampton FC	30/03/1992	183 cm	MF
Charlie Austin	Southampton FC	Southampton FC	05/07/1989	188 cm	FW
Jan Bednarek	Southampton FC	Southampton FC	12/04/1996	189 cm	DF
Ryan Bertrand	Southampton FC	Southampton FC	05/08/1989	179 cm	DF
Cédric Soares	Southampton FC	Southampton FC	31/08/1991	172 cm	DF
Steven Davis	Southampton FC	Southampton FC	01/01/1985	173 cm	MF
Mohamed Elyounoussi	Southampton FC	Southampton FC	04/08/1994	178 cm	FW
Fraser Forster	Southampton FC	Southampton FC	17/03/1988	201 cm	GK
Manolo Gabbiadini	Southampton FC	Southampton FC	26/11/1991	186 cm	FW
Sam Gallagher	Southampton FC	Southampton FC	15/09/1995	194 cm	FW
Angus Gunn	Southampton FC	Southampton FC	22/01/1996	196 cm	GK
Wesley Hoedt	Southampton FC	Southampton FC	06/03/1994	188 cm	DF
Pierre-Emile Højbjerg	Southampton FC	Southampton FC	05/08/1995	186 cm	MF
Danny Ings	Southampton FC	Southampton FC	23/07/1992	178 cm	FW
Mario Lemina	Southampton FC	Southampton FC	01/09/1993	184 cm	MF
Harry Lewis	Southampton FC	Southampton FC	20/12/1997	191 cm	GK
Shane Long	Southampton FC	Southampton FC	22/01/1987	180 cm	FW
Alex McCarthy	Southampton FC	Southampton FC	03/12/1989	193 cm	GK
Oriol Romeu	Southampton FC	Southampton FC	24/09/1991	182 cm	MF
Nathan Redmond	Southampton FC	Southampton FC	06/03/1994	173 cm	MF
Jack Stephens	Southampton FC	Southampton FC	27/01/1994	185 cm	DF
Matt Targett	Southampton FC	Southampton FC	18/09/1995	183 cm	DF
Rolando Aarons	Newcastle United	Newcastle United	16/11/1995	178 cm	MF
Christian Atsu	Newcastle United	Newcastle United	10/01/1992	172 cm	FW
Ayoze Pérez	Newcastle United	Newcastle United	23/07/1993	179 cm	MF
Ciaran Clark	Newcastle United	Newcastle United	26/09/1989	188 cm	DF
Karl Darlow	Newcastle United	Newcastle United	08/10/1990	190 cm	GK
Momo Diamé	Newcastle United	Newcastle United	14/06/1987	181 cm	MF
Martin Dúbravka	Newcastle United	Newcastle United	15/01/1989	191 cm	GK
Paul Dummett	Newcastle United	Newcastle United	26/09/1991	183 cm	DF
Rob Elliot	Newcastle United	Newcastle United	30/04/1986	190 cm	GK
Federico Fernández	Newcastle United	Newcastle United	21/02/1989	189 cm	DF
Isaac Hayden	Newcastle United	Newcastle United	22/03/1995	187 cm	MF
Joselu	Newcastle United	Newcastle United	27/03/1990	191 cm	FW
Kenedy	Newcastle United	Newcastle United	08/02/1996	182 cm	MF
Sung-yueng Ki	Newcastle United	Newcastle United	24/01/1989	187 cm	MF
Jamaal Lascelles	Newcastle United	Newcastle United	11/11/1993	189 cm	DF
Achraf Lazaar	Newcastle United	Newcastle United	22/01/1992	184 cm	DF
Florian Lejeune	Newcastle United	Newcastle United	20/05/1991	190 cm	DF
Sean Longstaff	Newcastle United	Newcastle United	30/10/1997	181 cm	MF
Manquillo	Newcastle United	Newcastle United	05/05/1994	178 cm	DF
Jacob Murphy	Newcastle United	Newcastle United	24/02/1995	176 cm	FW
Yoshinori Mutō	Newcastle United	Newcastle United	15/07/1992	179 cm	FW
Matt Ritchie	Newcastle United	Newcastle United	10/09/1989	173 cm	MF
Salomón Rondón	Newcastle United	Newcastle United	16/09/1989	190 cm	FW
Fabian Schär	Newcastle United	Newcastle United	20/12/1991	188 cm	DF
Jonjo Shelvey	Newcastle United	Newcastle United	27/02/1992	185 cm	MF
Jamie Sterry	Newcastle United	Newcastle United	21/11/1995	180 cm	DF
Freddie Woodman	Newcastle United	Newcastle United	04/03/1997	189 cm	GK
DeAndre Yedlin	Newcastle United	Newcastle United	09/07/1993	172 cm	DF
Stuart Armstrong	Southampton FC	Southampton FC	30/03/1992	183 cm	MF
Charlie Austin	Southampton FC	Southampton FC	05/07/1989	188 cm	FW
Jan Bednarek	Southampton FC	Southampton FC	12/04/1996	189 cm	DF
Ryan Bertrand	Southampton FC	Southampton FC	05/08/1989	179 cm	DF
Cédric Soares	Southampton FC	Southampton FC	31/08/1991	172 cm	DF
Steven Davis	Southampton FC	Southampton FC	01/01/1985	173 cm	MF
Mohamed Elyounoussi	Southampton FC	Southampton FC	04/08/1994	178 cm	FW
Fraser Forster	Southampton FC	Southampton FC	17/03/1988	201 cm	GK
Manolo Gabbiadini	Southampton FC	Southampton FC	26/11/1991	186 cm	FW
Sam Gallagher	Southampton FC	Southampton FC	15/09/1995	194 cm	FW
Angus Gunn	Southampton FC	Southampton FC	22/01/1996	196 cm	GK
Wesley Hoedt	Southampton FC	Southampton FC	06/03/1994	188 cm	DF
Pierre-Emile Højbjerg	Southampton FC	Southampton FC	05/08/1995	186 cm	MF
Danny Ings	Southampton FC	Southampton FC	23/07/1992	178 cm	FW
Mario Lemina	Southampton FC	Southampton FC	01/09/1993	184 cm	MF
Harry Lewis	Southampton FC	Southampton FC	20/12/1997	191 cm	GK
Shane Long	Southampton FC	Southampton FC	22/01/1987	180 cm	FW
Alex McCarthy	Southampton FC	Southampton FC	03/12/1989	193 cm	GK
Oriol Romeu	Southampton FC	Southampton FC	24/09/1991	182 cm	MF
Nathan Redmond	Southampton FC	Southampton FC	06/03/1994	173 cm	MF
Jack Stephens	Southampton FC	Southampton FC	27/01/1994	185 cm	DF
Matt Targett	Southampton FC	Southampton FC	18/09/1995	183 cm	DF
Rolando Aarons	Newcastle United	Newcastle United	16/11/1995	178 cm	MF
Christian Atsu	Newcastle United	Newcastle United	10/01/1992	172 cm	FW
Ayoze Pérez	Newcastle United	Newcastle United	23/07/1993	179 cm	MF
Ciaran Clark	Newcastle United	Newcastle United	26/09/1989	188 cm	DF
Karl Darlow	Newcastle United	Newcastle United	08/10/1990	190 cm	GK
Momo Diamé	Newcastle United	Newcastle United	14/06/1987	181 cm	MF
Martin Dúbravka	Newcastle United	Newcastle United	15/01/1989	191 cm	GK
Paul Dummett	Newcastle United	Newcastle United	26/09/1991	183 cm	DF
Rob Elliot	Newcastle United	Newcastle United	30/04/1986	190 cm	GK
Federico Fernández	Newcastle United	Newcastle United	21/02/1989	189 cm	DF
Isaac Hayden	Newcastle United	Newcastle United	22/03/1995	187 cm	MF
Joselu	Newcastle United	Newcastle United	27/03/1990	191 cm	FW
Kenedy	Newcastle United	Newcastle United	08/02/1996	182 cm	MF
Sung-yueng Ki	Newcastle United	Newcastle United	24/01/1989	187 cm	MF
Jamaal Lascelles	Newcastle United	Newcastle United	11/11/1993	189 cm	DF
Achraf Lazaar	Newcastle United	Newcastle United	22/01/1992	184 cm	DF
Florian Lejeune	Newcastle United	Newcastle United	20/05/1991	190 cm	DF
Sean Longstaff	Newcastle United	Newcastle United	30/10/1997	181 cm	MF
Manquillo	Newcastle United	Newcastle United	05/05/1994	178 cm	DF
Jacob Murphy	Newcastle United	Newcastle United	24/02/1995	176 cm	FW
Yoshinori Mutō	Newcastle United	Newcastle United	15/07/1992	179 cm	FW
Matt Ritchie	Newcastle United	Newcastle United	10/09/1989	173 cm	MF
Salomón Rondón	Newcastle United	Newcastle United	16/09/1989	190 cm	FW
Fabian Schär	Newcastle United	Newcastle United	20/12/1991	188 cm	DF
Jonjo Shelvey	Newcastle United	Newcastle United	27/02/1992	185 cm	MF
Jamie Sterry	Newcastle United	Newcastle United	21/11/1995	180 cm	DF
Freddie Woodman	Newcastle United	Newcastle United	04/03/1997	189 cm	GK
DeAndre Yedlin	Newcastle United	Newcastle United	09/07/1993	172 cm	DF
Stuart Armstrong	Southampton FC	Southampton FC	30/03/1992	183 cm	MF
Charlie Austin	Southampton FC	Southampton FC	05/07/1989	188 cm	FW
Jan Bednarek	Southampton FC	Southampton FC	12/04/1996	189 cm	DF
Ryan Bertrand	Southampton FC	Southampton FC	05/08/1989	179 cm	DF
Cédric Soares	Southampton FC	Southampton FC	31/08/1991	172 cm	DF
Steven Davis	Southampton FC	Southampton FC	01/01/1985	173 cm	MF
Mohamed Elyounoussi	Southampton FC	Southampton FC	04/08/1994	178 cm	FW
Fraser Forster	Southampton FC	Southampton FC	17/03/1988	201 cm	GK
Manolo Gabbiadini	Southampton FC	Southampton FC	26/11/1991	186 cm	FW
Sam Gallagher	Southampton FC	Southampton FC	15/09/1995	194 cm	FW
Angus Gunn	Southampton FC	Southampton FC	22/01/1996	196 cm	GK
Wesley Hoedt	Southampton FC	Southampton FC	06/03/1994	188 cm	DF
Pierre-Emile Højbjerg	Southampton FC	Southampton FC	05/08/1995	186 cm	MF
Danny Ings	Southampton FC	Southampton FC	23/07/1992	178 cm	FW
Mario Lemina	Southampton FC	Southampton FC	01/09/1993	184 cm	MF
Harry Lewis	Southampton FC	Southampton FC	20/12/1997	191 cm	GK
Shane Long	Southampton FC	Southampton FC	22/01/1987	180 cm	FW
Alex McCarthy	Southampton FC	Southampton FC	03/12/1989	193 cm	GK
Oriol Romeu	Southampton FC	Southampton FC	24/09/1991	182 cm	MF
Nathan Redmond	Southampton FC	Southampton FC	06/03/1994	173 cm	MF
Jack Stephens	Southampton FC	Southampton FC	27/01/1994	185 cm	DF
Matt Targett	Southampton FC	Southampton FC	18/09/1995	183 cm	DF
Ryan Giles	Wolverhampton Wanderers	Wolverhampton Wanderers	26/01/2000	???	MF
Kortney Hause	Wolverhampton Wanderers	Wolverhampton Wanderers	16/07/1995	189 cm	DF
Hélder Costa	Wolverhampton Wanderers	Wolverhampton Wanderers	12/01/1994	178 cm	FW
Dominic Iorfa	Wolverhampton Wanderers	Wolverhampton Wanderers	24/06/1995	193 cm	DF
Ivan Cavaleiro	Wolverhampton Wanderers	Wolverhampton Wanderers	18/10/1993	175 cm	FW
Raúl Jiménez	Wolverhampton Wanderers	Wolverhampton Wanderers	05/05/1991	188 cm	FW
João Moutinho	Wolverhampton Wanderers	Wolverhampton Wanderers	08/09/1986	170 cm	MF
Jonny	Wolverhampton Wanderers	Wolverhampton Wanderers	03/03/1994	170 cm	DF
Léo Bonatini	Wolverhampton Wanderers	Wolverhampton Wanderers	28/03/1994	185 cm	FW
Joe Mason	Wolverhampton Wanderers	Wolverhampton Wanderers	13/05/1991	178 cm	FW
Will Norris	Wolverhampton Wanderers	Wolverhampton Wanderers	12/08/1993	195 cm	GK
Pote	Wolverhampton Wanderers	Wolverhampton Wanderers	28/06/1998	173 cm	MF
Connor Ronan	Wolverhampton Wanderers	Wolverhampton Wanderers	06/03/1998	170 cm	MF
Rúben Neves	Wolverhampton Wanderers	Wolverhampton Wanderers	13/03/1997	180 cm	MF
Rúben Vinagre	Wolverhampton Wanderers	Wolverhampton Wanderers	09/04/1999	174 cm	DF
John Ruddy	Wolverhampton Wanderers	Wolverhampton Wanderers	24/10/1986	193 cm	GK
Rui Patrício	Wolverhampton Wanderers	Wolverhampton Wanderers	15/02/1988	188 cm	GK
Romain Saïss	Wolverhampton Wanderers	Wolverhampton Wanderers	26/03/1990	190 cm	MF
Adama Traoré	Wolverhampton Wanderers	Wolverhampton Wanderers	25/01/1996	172 cm	FW
Elliot Watt	Wolverhampton Wanderers	Wolverhampton Wanderers	11/03/2000	???	MF
